ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address,EVENT_LABEL
182.89.253.93,fake_richardsoneric@example.net,WY,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_1 rv:3.0; tn-ZA) AppleWebKit/533.10.1 (KHTML, like Gecko) Version/5.0.3 Safari/533.10.1",33953,(555)355 - 1785,2022-12-04T06:07:46Z,62857 Carlson Lane Fake St.,fraud
188.253.104.145,fake_cynthiamills@example.org,NY,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; km-KH) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.6.7",33872,(555)392 - 8061,2022-12-05T10:30:41Z,5961 Fuentes Light Fake St.,fraud
46.50.32.223,fake_zsherman@example.org,NJ,Opera/9.70.(X11; Linux x86_64; crh-UA) Presto/2.9.190 Version/12.00,32060,(555)480 - 6866,2022-09-20T12:56:36Z,425 Tammy Mount Fake St.,fraud
75.3.130.252,fake_freymartha@example.net,KS,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5 rv:6.0; ro-RO) AppleWebKit/533.6.5 (KHTML, like Gecko) Version/4.1 Safari/533.6.5",33378,(555)906 - 8734,2022-04-29T14:01:09Z,84968 Santiago Path Fake St.,fraud
5.25.240.53,fake_robertalexander@example.net,IA,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.1),34503,(555)930 - 5564,2022-08-25T13:36:49Z,76375 Jennifer Overpass Fake St.,fraud
179.206.240.58,fake_limelody@example.net,UT,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3 rv:3.0; lo-LA) AppleWebKit/533.21.5 (KHTML, like Gecko) Version/4.0.1 Safari/533.21.5",34552,(555)306 - 2340,2022-07-10T09:05:04Z,58598 Robbins Forest Fake St.,fraud
105.61.188.10,fake_brentchen@example.net,KS,Opera/9.82.(Windows NT 5.01; hak-TW) Presto/2.9.175 Version/12.00,32992,(555)225 - 6811,2022-12-25T07:17:46Z,9249 Cynthia Fork Fake St.,fraud
54.5.4.249,fake_natalie56@example.com,AZ,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.0),32876,(555)510 - 8219,2023-02-23T21:58:58Z,57008 Ronald Key Fake St.,fraud
124.135.81.255,fake_ryanmcclain@example.com,NY,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/23.0.887.0 Safari/536.1",33727,(555)354 - 7036,2022-03-07T15:54:09Z,2181 Acosta Squares Fake St.,fraud
32.195.241.249,fake_brianlee@example.net,WA,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_1; rv:1.9.4.20) Gecko/2011-05-16 12:45:20 Firefox/3.8,34530,(555)433 - 6030,2022-08-21T04:43:36Z,6361 Brown Inlet Fake St.,fraud
19.104.147.81,fake_roycopeland@example.net,GA,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.1),34339,(555)242 - 8740,2022-05-10T08:59:31Z,96105 Michael Glen Fake St.,fraud
150.219.122.164,fake_donald52@example.org,AZ,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.1),33337,(555)531 - 4168,2022-06-05T01:00:05Z,1148 Walker Highway Fake St.,fraud
150.219.122.164,fake_millerstephen@example.com,NJ,Opera/9.30.(Windows CE; hak-TW) Presto/2.9.174 Version/10.00,33293,(555)911 - 6989,2022-07-24T08:49:51Z,808 Andrea Center Fake St.,fraud
72.202.47.195,fake_hsmith@example.org,KY,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; as-IN) AppleWebKit/532.5.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6532.5.4",33416,(555)750 - 2129,2022-06-12T12:33:41Z,628 Ray Pine Fake St.,fraud
92.68.214.148,fake_oliveranthony@example.net,ME,Opera/8.24.(X11; Linux x86_64; ta-LK) Presto/2.9.190 Version/10.00,34563,(555)338 - 8932,2022-04-13T09:08:53Z,151 Lara Extension Fake St.,fraud
98.175.157.81,fake_johnny62@example.com,KS,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gd-GB) AppleWebKit/532.39.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6532.39.5",33886,(555)508 - 3158,2022-08-22T10:04:33Z,363 Billy Keys Fake St.,fraud
11.13.252.35,fake_qgarcia@example.org,WY,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_1; rv:1.9.2.20) Gecko/2017-09-08 05:25:38 Firefox/3.8,34699,(555)961 - 2366,2023-02-07T00:16:51Z,2161 Kim Street Fake St.,fraud
41.216.35.129,fake_kimberlythomas@example.org,ME,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; byn-ER) AppleWebKit/533.7.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.7.5",32294,(555)399 - 3053,2022-09-02T03:05:21Z,323 Woods Grove Fake St.,fraud
