EVENT_LABEL,EVENT_TIMESTAMP,LABEL_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,card_bin,customer_name,billing_street,billing_city,billing_state,billing_zip,billing_latitude,billing_longitude,billing_country,customer_job,ip_address,customer_email,billing_phone,user_agent,product_category,order_price,payment_currency,merchant
0,2022-12-24T15:53:30Z,2022-12-24T15:53:30Z,101208c0a99b601c4b11a8fb8fedc75d6,customer,070-69-2161,304027,Dennis,4900 Zachary Field Apt. 377,Stockton,NY,14784,42.3182,-79.3758,US,Proofreader,25.45.36.165,jasonsnyder@lynch.org,+1-021-436-2616-2085,Opera/9.84.(X11; Linux i686; raj-IN) Presto/2.9.173 Version/10.00,shopping_net,7.53,BIF,fraud_Gerlach Inc
0,2022-12-02T06:58:04Z,2022-12-02T06:58:04Z,101ad1da531a832f239f73aa74abe9bfc,customer,016-45-7761,601104,Patricia,257 Eric Extensions,Hildale,UT,84784,37.0044,-112.9784,US,Government social research officer,92.184.219.28,nathan48@yahoo.com,5855884205,Opera/8.39.(X11; Linux i686; fa-IR) Presto/2.9.167 Version/12.00,shopping_pos,816.33,ZWD,fraud_Pouros-Conroy
0,2022-11-28T19:36:59Z,2022-11-28T19:36:59Z,101d3b34a35a9a9faefda2ec874ec2da0,customer,267-85-7586,357961,Rick,688 Simmons Divide Suite 820,Minneapolis,MN,55443,45.1194,-93.3431,US,Ship broker,55.112.91.105,jacobosborne@martinez.org,691-852-5329,Opera/8.76.(Windows NT 6.1; et-EE) Presto/2.9.163 Version/10.00,gas_transport,86.02,CDF,fraud_Harber Inc
1,2022-11-24T19:20:29Z,2022-11-24T19:20:29Z,1026963337217d35802633b6973f10f02,customer,273-54-6512,372273,Jennifer,1955 Kendra Well,Pine City,MN,55063,45.8363,-92.9042,US,Trade mark attorney,148.41.67.98,mary80@hotmail.com,+1-036-676-5715,Mozilla/5.0 (Android 2.3.4; Mobile; rv:63.0) Gecko/63.0 Firefox/63.0,shopping_pos,6.32,ZWD,fraud_Kuhn LLC
0,2023-02-16T21:33:43Z,2023-02-16T21:33:43Z,10395457acda2d57c5dab3a68afa3c09a,customer,617-78-7415,498726,Michael,76424 Williams Run,Seminole,PA,16253,40.8478,-79.4516,US,Human resources officer,41.46.230.67,robertsshannon@yahoo.com,982-474-6933-49403,"Mozilla/5.0 (Windows 98) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/20.0.844.0 Safari/531.0",misc_pos,8.77,NIS,fraud_Maggio-Fahey
0,2022-12-28T12:42:54Z,2022-12-28T12:42:54Z,10407694f35cd48a01d540ad8971ec211,customer,832-65-2590,414501,Aaron,6223 Darrell Ramp Apt. 397,Custer,WI,54423,44.5662,-89.4153,US,Retail buyer,182.25.84.72,kevinadams@gmail.com,826-067-2353,"Mozilla/5.0 (Windows 98) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/30.0.854.0 Safari/531.2",grocery_pos,94.02,DKK,fraud_Murray-Smitham
0,2022-11-11T12:36:36Z,2022-11-11T12:36:36Z,10609f6abab5cdb7b57e262417b4b2009,customer,267-85-7586,357961,Rick,688 Simmons Divide Suite 820,Minneapolis,MN,55443,45.1194,-93.3431,US,Ship broker,55.112.91.105,jacobosborne@martinez.org,691-852-5329,Opera/8.76.(Windows NT 6.1; et-EE) Presto/2.9.163 Version/10.00,grocery_pos,37.43,YER,fraud_Murray-Smitham
0,2023-02-27T09:30:22Z,2023-02-27T09:30:22Z,1064ff0ed5b237c460c02bc01517874af,customer,412-89-9730,374567,Lindsey,7517 Jon Shores Apt. 113,Combes,TX,78535,26.2451,-97.7416,US,Advertising art director,44.127.31.208,jwalters@yahoo.com,322-719-1570-941,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/24.0.891.0 Mobile/49E558 Safari/536.0",food_dining,69.9,JEP,fraud_Conroy-Emard
0,2023-02-15T09:43:02Z,2023-02-15T09:43:02Z,1067ad15367aa7532e9c6b6f3978dadae,customer,496-61-7679,348155,Karen,3483 Cunningham Meadows Suite 159,Medway,ME,4460,45.607,-68.5227,US,"Programmer, applications",201.197.185.225,zachary40@greene-johns.com,1-801-966-9940-007,"Mozilla/5.0 (Linux; Android 3.2.3) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/22.0.883.0 Safari/534.2",shopping_net,242.46,BND,fraud_Mohr-Bayer
0,2023-01-26T16:00:28Z,2023-01-26T16:00:28Z,108a554200e1d73f2e1f73ddfe1589b3b,customer,096-28-4648,304159,Diane,66923 Fitzgerald Bridge,Cincinnati,OH,45204,39.0963,-84.5719,US,Investment analyst,190.20.57.26,melissa29@santos.com,+1-722-401-1678,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.1),shopping_pos,8.52,BHD,fraud_Mayert Group
