first_name,last_name,date_of_birth,incident_severity,num_vehicles_involved,num_injuries,num_witnesses,police_report_available,injury_claim,vehicle_claim,incident_hour,customer_age,policy_deductable,policy_annual_premium,num_claims_past_year,EVENT_LABEL,EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,policy_id,incident_type,LABEL_TIMESTAMP
Rickey,Robinson,1956-10-07,6.0,1.0,3.0,3.0,0.0,6778.0,2673.0,12.0,47.0,805.0,2526.0,4.0,fraud,2022-10-15T08:42:19Z,668c6044-4949-47f1-abf0-02473c981950,customer,c016-95635874,668c6044-4949-47f1-abf0-02473c981950,collision,2023-03-06T15:05:50Z
Vicki,Potter,2004-12-25,6.0,2.0,8.0,2.0,0.0,8157.0,3755.0,7.0,54.0,453.0,2113.0,4.0,fraud,2022-10-14T01:12:46Z,b87739df-f6f6-4d56-8c9d-065ccb91d625,customer,d736-69802787,b87739df-f6f6-4d56-8c9d-065ccb91d625,collision,2023-03-06T15:05:50Z
Bryce,Shields,1961-03-19,5.0,2.0,3.0,2.0,0.0,6703.0,4447.0,6.0,38.0,690.0,2681.0,5.0,fraud,2022-08-11T23:04:56Z,d70505bd-b4ff-4920-9f38-fc767e20105f,customer,a275-26655772,d70505bd-b4ff-4920-9f38-fc767e20105f,collision,2023-03-06T15:05:50Z
Terrance,Gould,2015-11-30,4.0,2.0,3.0,1.0,0.0,8118.0,2771.0,6.0,43.0,588.0,2772.0,6.0,fraud,2023-01-16T17:07:30Z,2a486c28-d4d2-47b9-b14d-fb70d470b44a,customer,d608-68006024,2a486c28-d4d2-47b9-b14d-fb70d470b44a,breakin,2023-03-06T15:05:50Z
Oscar,Herman,1977-01-23,6.0,1.0,7.0,2.0,0.0,6202.0,3999.0,16.0,52.0,163.0,4067.0,3.0,fraud,2022-09-14T20:24:24Z,90a9fb53-67ac-4457-9138-6702dda0e5be,customer,a307-85988254,90a9fb53-67ac-4457-9138-6702dda0e5be,collision,2023-03-06T15:05:50Z
Mario,Payne,1920-02-03,4.0,2.0,2.0,2.0,0.0,7787.0,2619.0,8.0,45.0,744.0,2692.0,4.0,fraud,2022-06-13T02:42:40Z,14c2d7d6-e53b-411e-93c9-3ac5facbdb12,customer,a816-15401219,14c2d7d6-e53b-411e-93c9-3ac5facbdb12,collision,2023-03-06T15:05:50Z
Eduardo,Conrad,1917-03-02,5.0,2.0,2.0,1.0,0.0,12048.0,2620.0,5.0,44.0,558.0,2867.0,3.0,fraud,2022-04-02T04:43:48Z,04bcd1c0-6b69-4262-83c1-75b6e74d2036,customer,d179-02919399,04bcd1c0-6b69-4262-83c1-75b6e74d2036,collision,2023-03-06T15:05:50Z
Joe,Hendrix,1931-10-21,4.0,2.0,4.0,2.0,0.0,5508.0,3690.0,11.0,46.0,609.0,2630.0,6.0,fraud,2022-07-24T00:58:08Z,873569a4-e194-4451-a602-ba88053331ed,customer,d700-91867693,873569a4-e194-4451-a602-ba88053331ed,theft,2023-03-06T15:05:50Z
Logan,Fisher,1980-05-28,5.0,2.0,2.0,1.0,0.0,8769.0,3932.0,4.0,43.0,466.0,2314.0,4.0,fraud,2022-04-17T13:31:08Z,ea8e0fcb-376c-408a-83de-c928f526c0c8,customer,b385-05602185,ea8e0fcb-376c-408a-83de-c928f526c0c8,theft,2023-03-06T15:05:50Z
Michelle,Parker,1995-08-09,6.0,2.0,6.0,3.0,0.0,8836.0,3390.0,7.0,41.0,583.0,2646.0,3.0,fraud,2022-10-12T22:21:52Z,c76dea8b-bb80-44e3-a975-e163e306c172,customer,b627-43479559,c76dea8b-bb80-44e3-a975-e163e306c172,collision,2023-03-06T15:05:50Z
Kristine,Odonnell,1950-05-03,7.0,1.0,5.0,2.0,0.0,7648.0,2917.0,13.0,52.0,359.0,2767.0,4.0,fraud,2023-01-21T14:59:28Z,e88ac126-5c88-40da-9f89-b67e82becfca,customer,c993-84984672,e88ac126-5c88-40da-9f89-b67e82becfca,breakin,2023-03-06T15:05:50Z
Ellen,Neal,1955-04-03,8.0,1.0,7.0,2.0,0.0,8967.0,3083.0,9.0,45.0,393.0,2614.0,5.0,fraud,2023-01-20T14:49:25Z,bd1aed15-56d0-4b14-a1c5-70c04ea565d1,customer,d516-78342001,bd1aed15-56d0-4b14-a1c5-70c04ea565d1,collision,2023-03-06T15:05:50Z
Paula,Stafford,1925-06-12,5.0,2.0,3.0,2.0,0.0,8648.0,2166.0,7.0,40.0,697.0,2556.0,4.0,fraud,2023-01-12T13:06:56Z,b7d9be90-107d-47d9-ab0f-290559b16c67,customer,c275-50375243,b7d9be90-107d-47d9-ab0f-290559b16c67,breakin,2023-03-06T15:05:50Z
Marco,Levine,1970-10-20,5.0,2.0,4.0,2.0,0.0,6583.0,3245.0,12.0,39.0,648.0,2651.0,6.0,fraud,2022-10-12T20:46:29Z,9fa7dfe1-a351-4a33-9cd5-e199b8573437,customer,b360-46521164,9fa7dfe1-a351-4a33-9cd5-e199b8573437,breakin,2023-03-06T15:05:50Z
